SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532666,FCS SOFTWARE,T ,Q,0.34,0.34,0.32,0.32,0.33,0.33,78,141815,46799.00,
532667,SUZLONENERGY,A ,Q,4.17,4.34,4.10,4.25,4.25,4.18,2515,1222820,5218181.00,
532668,AURIONPRO SO,B ,Q,100.25,102.20,100.20,101.20,101.20,100.50,7,782,79555.00,
532669,SOUTHBIOTEC ,X ,Q,0.93,0.93,0.93,0.93,0.93,0.94,2,3,2.00,
532670,RENUKA SUGAR,B ,Q,7.31,8.00,7.10,7.79,7.82,7.32,130,53895,406733.00,
532673,KM SUGARMILL,B ,Q,6.33,7.23,6.16,7.16,7.16,6.13,74,14782,100575.00,
532674,BANNARI AMMA,B ,Q,130.25,135.65,130.10,135.65,135.65,134.85,6,72,9400.00,
532678,BOMBAY RAYON,B ,Q,5.58,5.58,5.31,5.38,5.38,5.33,6,881,4702.00,
532679,SORILINFRA  ,B ,Q,95.00,99.80,90.30,99.80,99.80,95.05,359,14909,1458798.00,
532683,AIAENGINEER ,A ,Q,1690.00,1695.00,1600.00,1619.65,1619.00,1677.00,383,1361,2204526.00,
532684,EVEREST KANT,B ,Q,19.80,20.30,19.80,20.20,20.20,19.95,35,30553,615078.00,
532686,KERNEX MICRO,T ,Q,20.00,21.20,20.00,21.20,21.20,20.25,16,4422,91473.00,
532687,REPRO INDIA ,B ,Q,503.80,510.00,496.00,496.00,496.00,492.45,7,26,13124.00,
532689,PVR LTD     ,A ,Q,1437.00,1484.95,1414.90,1464.60,1473.85,1432.80,1115,24884,36003226.00,
